ik,I
je,you
het,the
de,the
dat,Which
is,is
een,a
niet,not
en,and
van,from
wat,what
we,we
in,in
ze,they
hij,he
te,at
zijn,to be
op,on
maar,but
er,there
met,of
voor,in front of
die,That
heb,have
me,me
als,as
was,used to be
ben,am
om,to
dit,this
mijn,mine
aan,at
u,you
dan,then
n,n
naar,nasty
weet,know
hier,here
zo,like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want
hebben,to have
goed,good
haar,hair
nee,no
hoe,how
nu,now
waar,Where
over,about
ook,also
doen,to do
uit,from
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,Bee
al,already
ons,U.S
had,had
iets,something
daar,over there
jullie,you
gaat,go
zal,shall
m,m
hebt,have
kom,bowl
waarom,Why
meer,Lake
deze,this one
moeten,should
t,t
laat,leave
kunnen,be able to
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,Real
doe,off
door,by means of
alleen,alone
s,s
toch,However
zien,to see
weg,away
eens,once
man,man
misschien,perhaps
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,coming
toen,when
veel,a lot
even,for a bit
onze,our
gewoon,just
weten,know
komen,come
nodig,required
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,again
leven,to live
twee,two
net,just
tegen,against
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
z,Z
hou,keep
kijk,look
heel,all
wij,we
altijd,always
mag,allowed
gedaan,done
dood,dead
zeker,secure
af,off
jaar,year
hun,their
wilde,Savage
dag,day
allemaal,all
jouw,your
huis,House
dacht,thought
doet,is doing
vader,father
kunt,can
wacht,guard
zie,see
vrouw,female
keer,time
andere,Others
zoals,like
zij,she
dank,thanks
anders,otherwise
geef,give
waren,goods
willen,want
zich,himself
bedankt,thanks
één,a
mr,MR
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everybody
beter,better
werd,became
moeder,mother
niemand,no one
vinden,find
staat,state
gezien,seen
niks,nothing
binnen,inside
zitten,to sit
zullen,shall
na,after
helpen,help out
